ID	Zip	Age	Sex	Helsinki should be an example of reducing carbon dioxide emissions	Local wind power should be produced in Helsinki	Construction of wind turbines would have a positive impact on Helsinki's image.	Construction of wind turbines would have a positive impact on the landscape of Helsinki's.	How often do you spend your free time on the shores of Helsinki?	How often do you spend your free time at the waters of Helsinki?	What do you feel if wind turbines would be visible to sea lanes that approach Helsinki?	What do you feel if wind turbines could be seen from the ramparts of Suomenlinna?	What do you feel if wind turbines would be built at the port and power plant areas of Helsinki?	What do you feel if wind turbines would be built on the landfills (Malminkartano tai vuosaari) of Helsinki?	What do you feel if wind turbines would be built at the outer territorial waters (8-10 km from the coastline) of Helsinki?	What do you feel if wind turbines would be built at the inner archipelago (4-5 km from coastline) of Helsinki?	What do you feel if wind turbines would be built at shores (1-2 km from coastline) of Helsinki?	I would like to influence the placement of wind turbines in Helsinki	I would like to buy local wind power in Helsinki, even if cheaper electricity would be available from elsewhere	I would like to participate in the construction of wind power as an investor (eg funds, shareholdings).
870	ZIP_00530	27	m	2	2	2	1	4	4	2	2	2	2	2	2	2	1	2	1
871	ZIP_00570	51	m	1	2	2	1	3	1	1	1	2	2	1	1	1	2	1	-1
872	ZIP_00560	43	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	1
873	ZIP_00120	34	n	-1	0	-1	-2	3	2	-1	1	1	0	-1	-2	2	2	1	-1
874	ZIP_00160	34	n	-2	-2	-2	-2	4	1	-1	-1	-2	1	1	-2	-2	1	-2	-2
875	ZIP_28400	34	m	2	2	2	2	1	1	2	2	2	2	2	2	2	0	2	2
876	ZIP_00360	33	m	2	2	2	2	4	4	2	2	2	2	2	2	2	-2	2	2
877	ZIP_00650	53	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
878	ZIP_00980	43	m	2	2	2	2	2	1	2	2	2	2	2	2	1	2	1	1
879	ZIP_00120	34	m	2	2	2	1	3	2	2	1	2	2	2	2	2	2	2	2
880	ZIP_00100	43	m	-2	-2	-2	-2	3	1	-2	-2	-2	-2	-2	-2	2	2	-2	-2
881	ZIP_00300	32	m	2	2	2	2	3	0	2	2	2	2	2	2	1	1	1	-1
882	ZIP_00300	54	n	2	2	2	2	3	3	2	-1	2	2	-1	2	1	1	2	0
883	ZIP_00170	71	n	1	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
884	ZIP_00140	62	n	1	1	1	1	2	1	1	1	1	1	1	1	1	1	0	0
885	ZIP_00270	49	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
886	ZIP_00160	47	n	2	1	1	-1	2	1	1	1	1	2	2	-1	-2	1	2	-1
887	ZIP_00220	56	n	2	2	2	1	3	1	2	2	2	2	2	1	1	1	1	1
888	ZIP_50100	57	n	2	2	2	2	1	1	2	2	2	2	2	2	2	1	2	2
889	ZIP_28100	28	m	2	-2	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	1	-2	-2
890	ZIP_00200	35	m	2	2	2	-1	4	2	2	1	2	2	2	1	1	2	2	2
891	ZIP_00800	45	m	2	1	1	-1	3	2	1	1	-2	-2	2	1	-2	2	1	1
892	ZIP_00100	35	m	2	2	2	2	2	1	2	2	2	2	2	2	-1	2	2	2
893	ZIP_00960	32	m	1	-1	-1	-2	3	1	1	1	-2	-2	1	-1	-2	2	-1	-1
894	ZIP_00100	62	m	-2	1	1	2	3	0	1	1	1	1	2	2	1	2	-2	-2
895	ZIP_00810	64	m	2	2	2	2	3	2	2	2	2	2	2	2	2	0	2	1
896	ZIP_00850	30	n	2	2	2	1	4	2	2	2	2	1	1	2	1	1	2	1
897	ZIP_00370	47	n	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	2	2
898	ZIP_00520	34	n	2	1	1	-1	3	1	1	-1	2	2	2	1	-1	2	1	-1
899	ZIP_00700	15	n	2	2	2	1	2	1	2	2	2	2	2	2	2	-2	2	2
900	ZIP_00670	53	m	-2	-2	-2	-2	4	4	-2	-2	-2	2	-2	-2	-2	-2	-2	-2
901	ZIP_00530	51	m	2	1	1	-1	3	1	-2	-2	-1	1	-2	-2	-2	2	-1	0
902	ZIP_00120	48	x	2	-1	-1	-1	1	1	-1	-1	1	1	1	-1	-1	2	-2	-1
903	ZIP_00140	61	n	2	1	2	-1	3	1	1	-1	-1	1	2	-1	-1	2	1	1
904	ZIP_00270	58	n	2	2	2	2	2	1	2	2	1	2	2	1	1	2	2	1
905	ZIP_00120	27	n	2	2	2	1	4	1	2	2	2	2	1	-1	1	2	-1	-1
906	ZIP_00510	33	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	1
907	ZIP_00180	51	m	2	2	2	1	4	1	2	2	2	2	2	1	1	1	2	1
908	ZIP_00150	50	n	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	2
909	ZIP_00500	52	n	2	1	2	-1	3	2	2	-2	1	2	-2	-2	-2	2	2	2
910	ZIP_00900	20	m	2	2	2	2	3	1	2	1	2	2	2	2	1	2	1	1
911	ZIP_03900	69	m	2	2	2	2	4	4	2	2	2	2	2	2	2	0	-1	1
912	ZIP_00170	55	n	2	-2	-2	-2	4	1	2	2	2	2	2	2	2	1	2	2
913	ZIP_00120	53	m	1	1	2	1	4	4	2	1	2	1	1	-1	-2	2	2	-2
914	ZIP_80100	26	m	2	2	2	1	0	0	2	2	1	1	2	2	2	0	2	1
915	ZIP_00610	36	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	2
916	ZIP_00500	30	n	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
917	ZIP_00180	62	n	1	-1	1	-2	4	1	-1	-2	-2	1	-1	-2	-2	2	-2	-2
918	ZIP_00100	25	n	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	0
919	ZIP_00002	36	m	2	2	2	2	4	4	2	2	2	2	-2	2	2	2	2	2
920	ZIP_00530	33	n	2	2	2	1	2	1	2	2	2	2	2	2	2	-1	2	0
921	ZIP_00790	59	n	2	2	2	2	2	1	2	2	2	2	2	1	2	2	1	0
922	ZIP_00140	66	m	2	0	0	-1	3	0	-1	-1	-1	1	1	1	-2	2	1	0
923	ZIP_00530	37	m	1	-2	-2	-2	3	1	1	-2	-2	-2	1	-1	-2	-2	-2	-2
924	ZIP_01610	68	n	2	2	2	2	3	2	2	2	2	2	2	2	2	1	2	0
925	ZIP_00560	38	m	2	2	2	2	4	1	2	2	2	2	2	2	2	1	1	1
926	ZIP_00350	27	n	2	2	2	1	1	1	2	2	2	2	2	2	1	1	2	-1
927	ZIP_00200	39	m	1	-1	-1	-2	3	1	-1	-2	-1	1	1	-2	-2	2	-1	1
928	ZIP_00270	44	m	1	-1	-1	-1	4	1	-1	-1	1	-2	1	-1	-1	1	-2	-2
929	ZIP_00140	32	m	-1	-2	-1	-2	3	3	-1	-2	-2	-1	-1	-2	-2	2	-2	-2
930	ZIP_00160	28	m	2	2	2	2	4	2	2	2	1	2	2	2	2	2	2	1
931	ZIP_00550	35	n	2	1	1	1	3	1	2	2	2	1	2	2	1	1	2	1
932	ZIP_00990	27	n	2	2	2	1	4	2	2	1	2	1	2	1	-1	2	1	0
933	ZIP_00520	29	m	2	2	2	2	4	1	2	1	2	2	2	2	2	2	-1	0
934	ZIP_11130	23	n	2	2	2	2	1	1	1	2	2	2	2	2	2	1	1	-1
935	ZIP_00980	36	n	2	2	2	1	4	3	2	1	2	2	1	-2	-2	1	2	-2
936	ZIP_00570	36	m	-2	-2	-2	-2	4	3	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
937	ZIP_00910	43	n	2	2	2	2	3	1	2	2	2	2	2	2	2	2	2	1
938	ZIP_02760	39	m	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	1	-1
939	ZIP_00100	26	n	2	2	2	2	4	1	2	1	2	1	2	2	2	2	2	2
940	ZIP_00540	28	m	2	2	2	2	4	1	2	2	2	2	2	2	2	-1	2	2
941	ZIP_00590	48	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	2
942	ZIP_05800	13	m	2	1	2	2	3	1	2	-1	1	2	2	1	-1	2	1	0
943	ZIP_00100	29	n	0	0	0	0	1	1	0	0	0	0	0	0	0	1	-2	-2
944	ZIP_00980	54	n	2	2	2	-1	3	1	1	-1	1	1	1	-1	-2	1	1	-2
945	ZIP_00200	30	n	-2	-2	-2	-2	0	1	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
946	ZIP_00180	49	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
947	ZIP_00530	37	m	2	2	2	2	4	3	2	2	2	2	2	2	1	1	1	0
948	ZIP_00000	25	m	2	2	2	1	1	1	2	2	2	2	2	2	2	-2	1	1
949	ZIP_00560	29	n	2	2	2	2	3	1	2	2	2	2	1	2	2	-1	2	0
950	ZIP_00100	59	m	1	2	2	1	1	1	1	1	2	1	2	2	1	1	1	1
951	ZIP_00610	28	m	2	2	1	-1	1	1	2	2	2	2	-1	-1	-1	1	-2	1
952	ZIP_00750	27	m	2	2	2	2	2	1	2	2	2	2	2	2	2	2	1	-1
953	ZIP_00270	36	n	2	2	2	0	3	1	2	1	1	1	1	1	0	0	1	-2
954	ZIP_00090	38	n	1	2	2	1	1	1	2	1	2	1	2	1	1	2	1	1
955	ZIP_00120	45	n	2	2	1	-1	4	1	2	2	2	2	2	2	2	0	2	0
956	ZIP_85540	21	m	2	2	2	2	3	2	2	-1	2	2	2	2	2	0	1	1
957	ZIP_00150	37	m	1	1	0	-2	4	2	-1	-1	-1	-2	-2	-2	-2	2	0	-2
958	ZIP_00200	31	m	2	2	2	1	4	2	2	2	2	2	2	1	2	1	1	1
959	ZIP_00670	59	m	-2	2	2	2	3	1	2	2	2	2	2	2	2	-2	-2	-2
960	ZIP_00530	63	n	1	1	1	-2	1	0	1	0	1	-2	0	-1	-1	1	-2	-2
961	ZIP_00170	28	m	1	-1	1	-1	3	1	1	1	-2	-1	2	1	1	1	1	-1
962	ZIP_00100	38	m	2	2	2	2	3	1	2	2	2	2	1	2	2	2	2	1
963	ZIP_00550	34	m	2	2	2	1	4	2	2	1	2	2	1	1	1	1	2	1
964	ZIP_00240	34	n	2	2	2	2	3	1	2	2	2	1	2	1	1	-2	2	1
965	ZIP_00120	48	n	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	2	2
966	ZIP_00120	40	m	2	2	2	2	3	2	2	1	2	2	2	1	1	2	2	2
967	ZIP_00200	37	m	2	2	2	2	4	3	2	2	2	2	2	1	1	2	2	2
968	ZIP_00790	31	m	2	2	2	2	2	1	2	2	2	2	1	2	2	2	2	2
969	ZIP_00150	34	m	1	-2	-2	-2	3	3	-2	-2	-2	-2	1	-2	-2	-2	-2	-2
970	ZIP_00610	29	m	2	2	2	1	3	1	1	1	2	2	2	2	-1	2	2	1
971	ZIP_48200	38	n	2	2	2	1	1	1	2	2	2	2	2	2	2	1	2	-1
972	ZIP_00750	30	m	2	2	2	1	3	1	2	2	2	2	2	2	1	-1	1	-2
973	ZIP_02480	61	n	2	2	2	1	2	1	2	-1	-1	-1	2	-2	-2	2	2	1
974	ZIP_00320	29	m	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2
975	ZIP_33230	42	m	2	1	2	1	1	1	1	1	2	2	2	1	1	-1	-1	-1
976	ZIP_00200	51	m	2	2	2	-2	4	0	2	2	-2	-2	2	2	2	2	2	-2
977	ZIP_00790	41	m	1	1	1	-1	2	1	1	1	2	2	1	1	-1	1	-2	-2
978	ZIP_00120	45	m	2	2	2	1	4	4	2	1	2	2	2	-1	-2	2	2	2
979	ZIP_00170	52	n	2	2	2	2	4	2	2	2	1	1	2	1	-1	2	2	2
980	ZIP_00560	34	n	2	2	2	2	4	2	2	2	2	2	2	2	2	0	2	2
981	ZIP_00560	35	n	2	2	2	2	3	1	2	2	2	1	2	2	0	2	2	1
982	ZIP_00120	31	m	-1	-2	-2	-2	4	3	-2	-2	-1	-1	-1	-2	-2	2	-2	-2
983	ZIP_00100	44	n	-1	1	1	1	1	1	2	2	2	-1	2	2	1	1	-2	-2
984	ZIP_00930	26	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	1	0
985	ZIP_00140	77	m	2	2	1	1	4	1	1	0	-1	1	1	-1	-2	1	1	0
986	ZIP_00180	48	m	2	2	2	2	2	0	2	1	2	2	2	2	1	1	2	2
987	ZIP_00740	41	m	2	0	1	-1	2	1	1	1	1	1	2	2	0	2	0	1
988	ZIP_00330	34	n	2	2	2	2	3	0	2	2	2	2	2	2	2	-2	2	2
989	ZIP_00260	38	m	2	2	2	1	3	0	2	2	2	2	2	2	2	1	2	2
990	ZIP_00950	53	n	-1	-1	-1	-2	4	4	-1	-2	1	-2	-2	-2	-2	2	-2	-2
991	ZIP_00330	35	m	2	2	2	1	3	1	2	2	2	2	2	2	1	-1	1	1
992	ZIP_00550	27	n	2	2	2	2	2	1	2	2	2	2	2	2	2	1	1	1
993	ZIP_00540	33	m	2	2	2	-1	3	2	2	2	2	2	2	2	2	2	1	1
994	ZIP_00170	48	m	2	2	2	2	4	1	2	1	2	2	2	1	-1	2	2	1
995	ZIP_90500	35	m	2	2	2	2	1	1	2	2	2	2	2	2	2	-1	2	1
996	ZIP_00180	31	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	2	1
997	ZIP_00150	23	n	2	2	2	1	3	1	2	1	2	2	2	-1	-1	1	1	-2
998	ZIP_00280	34	m	2	2	2	1	3	1	2	2	2	2	2	2	2	1	2	2
999	ZIP_00560	38	n	2	2	2	1	4	1	2	2	2	2	2	2	2	1	2	1
1000	ZIP_00100	46	n	2	2	2	2	3	3	2	2	2	2	2	2	2	2	2	2
1001	ZIP_04360	25	m	2	2	2	2	1	0	2	2	2	2	2	0	2	0	2	2
1002	ZIP_00570	30	m	2	2	2	2	4	2	2	2	2	2	2	2	1	2	2	1
1003	ZIP_68500	41	m	2	2	1	1	1	1	1	0	2	2	2	1	1	-1	2	2
1004	ZIP_00530	26	m	2	1	1	1	4	1	2	2	1	2	2	1	1	1	1	-2
1005	ZIP_00150	30	m	1	1	1	1	4	1	1	0	1	0	2	1	-1	0	0	0
1006	ZIP_00101	45	m	1	2	2	2	3	2	2	1	2	-1	2	1	-1	2	1	-1
1007	ZIP_00200	33	m	2	2	2	2	4	1	2	2	2	2	2	1	1	2	2	2
1008	ZIP_00140	33	m	2	2	2	-1	2	1	2	1	2	1	1	2	2	-1	2	-1
1009	ZIP_00100	31	n	2	2	2	2	4	3	1	1	2	2	-1	-1	-2	-1	1	1
1010	ZIP_00100	30	m	1	-2	-2	-2	3	2	-1	-2	-2	-1	-1	-1	-1	1	-2	-2
1011	ZIP_00500	38	m	2	2	2	2	3	1	2	2	2	2	2	2	2	-1	2	1
1012	ZIP_02720	32	m	2	2	2	2	3	1	2	2	2	2	2	2	2	0	0	0
1013	ZIP_00530	33	n	2	2	2	2	4	1	2	2	2	2	2	2	2	-2	2	-1
1014	ZIP_00410	64	n	2	2	2	1	1	1	2	1	2	2	2	2	1	1	2	0
1015	ZIP_00100	29	m	2	2	2	1	2	1	2	2	2	2	2	1	1	2	2	-2
1016	ZIP_00660	57	n	1	1	1	-1	2	1	1	1	2	2	1	-2	-2	2	1	1
1017	ZIP_00640	19	n	2	2	2	1	1	1	2	1	2	2	2	2	2	2	1	0
1018	ZIP_00810	40	n	2	2	2	1	4	1	2	1	2	2	1	1	-1	2	2	0
1019	ZIP_00330	31	n	2	2	2	2	4	3	2	2	2	2	2	2	2	1	2	1
1020	ZIP_00510	30	m	1	-2	-1	-2	2	1	-1	-2	-1	1	-1	-2	-2	1	-1	-2
1021	ZIP_00500	29	m	2	2	2	2	3	0	2	2	2	2	2	2	2	2	2	2
1022	ZIP_00530	43	n	2	2	2	2	4	1	2	2	2	2	2	2	2	0	2	2
1023	ZIP_00100	31	n	2	1	2	-1	3	1	2	-1	1	2	1	-1	1	1	2	-1
1024	ZIP_00500	31	m	2	2	2	2	2	1	2	2	2	2	2	2	2	-1	1	1
1025	ZIP_00820	54	n	2	1	1	-1	4	0	1	1	1	1	2	1	-1	1	1	-2
1026	ZIP_00530	42	m	2	1	1	1	4	1	2	2	1	1	2	2	1	1	1	1
1027	ZIP_00520	36	m	2	2	2	1	4	2	2	2	2	2	2	-1	2	1	2	1
1028	ZIP_00170	28	m	2	1	2	1	4	2	2	2	2	2	2	1	1	2	2	1
1029	ZIP_00810	46	n	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	2
1030	ZIP_00500	32	m	2	2	2	1	3	2	2	1	2	2	2	2	1	1	2	1
1031	ZIP_00190	57	n	1	1	2	1	4	4	1	1	2	1	-1	-1	-1	1	1	0
1032	ZIP_00390	58	n	1	-2	-2	-2	3	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1033	ZIP_00330	31	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
1034	ZIP_00740	66	x	2	-2	-1	-2	4	0	-1	-2	-1	-2	2	-1	1	2	-2	-2
1035	ZIP_00200	27	n	2	2	2	1	4	1	2	1	1	1	2	1	-1	-1	1	1
1036	ZIP_04400	26	m	1	-1	1	-1	3	1	1	-1	1	-1	1	-1	-1	-1	-2	-1
1037	ZIP_00170	66	n	2	2	2	2	4	1	2	2	2	2	2	-1	2	1	2	0
1038	ZIP_00560	24	m	2	2	2	2	4	1	2	2	2	2	2	2	1	-1	2	2
1039	ZIP_00500	30	n	1	2	2	2	3	1	1	-2	2	1	1	1	1	-1	-1	1
1040	ZIP_02110	28	m	2	2	2	1	4	1	2	2	2	2	2	1	1	-1	-1	-1
1041	ZIP_00520	55	m	2	2	2	-1	3	1	2	2	2	2	2	1	-1	1	2	2
1042	ZIP_01200	71	m	2	2	2	2	3	1	2	1	1	2	2	2	1	2	-1	-1
1043	ZIP_00270	37	m	-1	-2	1	-2	3	1	-2	-2	-2	-1	-2	-2	-2	2	-2	-2
1044	ZIP_00610	38	n	2	2	2	1	3	2	1	1	2	2	2	-1	1	1	2	1
1045	ZIP_00180	51	n	2	2	2	1	2	1	2	1	2	2	1	1	-1	1	1	1
1046	ZIP_00530	36	n	2	2	2	1	4	1	2	2	2	2	2	2	2	-1	1	1
1047	ZIP_00100	33	m	2	-2	-2	-2	3	3	-1	-2	-2	-2	-1	-2	-2	0	-2	-2
1048	ZIP_02760	54	n	2	2	2	1	1	0	2	2	2	2	1	1	1	0	1	0
1049	ZIP_04420	30	n	2	2	2	2	2	1	2	2	2	2	2	2	2	0	2	-2
1050	ZIP_29790	34	m	-2	-2	-2	-2	0	0	-2	-2	-2	-2	-2	-2	-2	-2	-2	-2
1051	ZIP_00100	47	m	2	2	2	1	4	1	2	1	2	2	2	1	1	2	2	2
1052	ZIP_00800	34	n	2	1	1	1	3	1	2	1	2	1	2	1	1	2	1	1
1053	ZIP_00150	55	n	1	1	1	-1	4	0	0	-1	1	1	1	-2	-2	1	0	0
1054	ZIP_00150	54	n	2	1	1	-1	4	2	1	-1	2	1	2	-1	-1	2	1	1
1055	ZIP_00700	43	n	2	1	2	1	4	1	2	2	0	0	2	0	0	2	1	0
1056	ZIP_00840	69	m	-2	-2	-2	-2	4	0	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1057	ZIP_00200	35	n	1	1	1	-1	4	1	1	-1	-1	-2	1	-2	-2	1	1	-1
1058	ZIP_00530	29	n	2	2	2	2	2	1	2	1	2	2	2	2	2	1	2	1
1059	ZIP_00120	21	m	2	2	2	1	4	1	2	1	1	1	2	1	2	2	1	1
1060	ZIP_00200	35	m	1	-2	-2	-2	3	3	-1	-2	-1	-1	-2	-2	-2	2	-2	1
1061	ZIP_00170	53	n	1	-2	-2	-2	2	1	-1	-2	-2	-2	-2	-2	-2	2	-2	-2
1062	ZIP_00099	29	m	2	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2
1063	ZIP_00100	52	m	2	2	2	1	3	1	2	2	1	1	2	1	1	1	1	1
1064	ZIP_00100	35	n	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1065	ZIP_00150	42	m	1	2	2	1	4	2	2	2	1	1	-2	1	2	2	1	-1
1066	ZIP_00610	35	n	2	2	2	2	3	1	2	2	2	2	2	1	2	1	2	2
1067	ZIP_00100	65	m	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1068	ZIP_00710	37	m	1	-1	-1	-1	4	4	0	0	-1	-1	0	-2	-2	1	-2	-2
1069	ZIP_00850	33	m	-1	1	-1	-2	4	3	-1	-2	-2	-2	-2	-2	-2	2	-2	-2
1070	ZIP_00420	26	m	2	2	2	2	2	0	2	2	2	2	2	2	2	1	2	1
1071	ZIP_02880	36	m	2	2	2	2	0	1	2	2	2	-2	1	2	2	2	-2	-2
1072	ZIP_00810	38	m	1	-1	-1	-1	3	1	1	1	1	1	2	1	-1	2	-2	-1
1073	ZIP_00500	35	m	2	1	2	1	3	2	2	1	2	1	2	1	1	1	2	-1
1074	ZIP_00100	26	n	-2	-2	-2	-2	2	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1075	ZIP_00970	38	m	-2	-2	-2	-2	4	2	-2	-2	-1	-2	-2	-2	-2	2	-2	-2
1076	ZIP_00220	29	m	2	2	2	2	4	0	1	1	2	2	2	1	1	2	1	2
1077	ZIP_00180	30	m	-2	-2	-2	-2	2	2	-1	-2	-2	-1	0	-1	-2	-2	-2	-2
1078	ZIP_00210	32	x	2	2	2	2	4	4	2	2	2	-2	-2	-2	2	2	2	2
1079	ZIP_04250	39	m	1	2	2	2	2	1	2	2	2	2	2	2	2	-1	-1	-1
1080	ZIP_00100	29	m	-2	-2	-2	2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1081	ZIP_02400	46	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	2
1082	ZIP_00630	35	m	2	2	2	2	3	3	2	2	2	2	2	-1	-2	1	1	1
1083	ZIP_01520	41	n	2	1	1	1	1	1	1	1	2	1	1	1	1	1	-1	-1
1084	ZIP_90100	37	m	2	2	2	2	0	0	0	0	0	0	0	2	2	2	2	-2
1085	ZIP_02210	34	m	2	2	2	1	2	4	2	-1	2	2	2	-1	-2	1	1	-2
1086	ZIP_00100	1	m	2	-2	-2	-2	3	1	-2	-2	-2	-2	0	-2	-2	2	-2	-2
1087	ZIP_00100	30	m	2	2	2	2	4	3	2	2	2	-2	-2	-2	2	2	2	2
1088	ZIP_00120	54	m	2	2	2	2	3	2	2	2	2	2	2	2	-1	1	2	2
1089	ZIP_00200	41	n	-2	-2	-2	-2	4	2	-2	-2	-2	-2	-1	-1	-2	2	-2	-2
1090	ZIP_01620	41	m	2	2	2	1	1	1	2	2	-1	-1	2	-1	-1	0	0	1
1091	ZIP_00870	37	n	2	2	2	1	3	1	2	2	2	1	2	1	-1	1	1	2
1092	ZIP_90100	38	m	-2	-2	-2	-2	1	1	2	2	2	2	-2	1	2	2	-2	-2
1093	ZIP_00570	39	n	2	2	2	2	4	2	2	2	2	2	2	2	2	1	2	-1
1094	ZIP_00160	28	m	2	2	2	2	0	0	2	-1	2	1	2	2	1	1	2	-1
1095	ZIP_00500	28	n	2	1	2	1	4	1	1	1	2	1	1	1	1	-1	-1	-1
1096	ZIP_00950	48	n	-2	-2	-2	-2	2	1	-2	-2	-2	-2	1	-2	-2	2	-2	-2
1097	ZIP_02230	25	n	2	2	2	1	1	1	2	2	2	2	2	2	2	1	2	1
1098	ZIP_02610	37	m	1	2	2	-2	0	0	2	2	1	1	1	-2	2	2	-2	-2
1099	ZIP_00570	35	m	2	2	2	1	3	1	1	1	2	2	2	1	1	-1	1	-1
1100	ZIP_00150	28	m	1	2	2	2	4	3	1	1	1	2	2	1	2	-1	-1	1
1101	ZIP_00240	33	m	2	2	2	1	4	1	2	1	2	1	1	1	1	1	2	0
1102	ZIP_00100	28	m	-2	-2	-2	-2	4	4	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1103	ZIP_00200	33	m	-2	2	-2	-2	3	2	-2	-2	-1	-1	-1	-2	-2	1	-2	-2
1104	ZIP_00980	30	x	2	2	2	2	0	0	2	2	2	2	2	2	2	2	-2	-2
1105	ZIP_00200	47	n	2	2	2	1	4	1	2	1	2	2	2	1	1	2	2	1
1106	ZIP_20540	26	m	2	2	2	2	1	1	2	2	2	2	2	1	1	-1	0	1
1107	ZIP_00880	35	m	2	2	2	1	3	2	2	2	2	2	2	2	1	2	2	1
1108	ZIP_00220	39	n	2	2	2	2	4	1	2	2	2	2	2	2	2	1	2	1
1109	ZIP_00250	33	m	2	2	1	-1	4	3	2	2	1	1	2	1	-1	2	2	1
1110	ZIP_00570	38	m	-2	-2	-2	-2	4	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1111	ZIP_00150	62	n	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	2
1112	ZIP_00100	52	m	-2	-2	-2	-2	1	1	-2	-2	-2	-2	-2	-2	-2	0	-2	-2
1113	ZIP_00100	22	x	2	2	2	2	3	2	2	1	2	2	2	2	2	0	2	1
1114	ZIP_00520	32	n	2	2	2	1	3	2	1	-1	1	2	2	-1	-2	1	2	1
1115	ZIP_00630	64	n	2	2	2	1	2	2	1	1	2	2	2	-1	1	1	1	-2
1116	ZIP_33100	30	n	2	2	2	2	1	0	2	1	2	2	1	2	2	0	1	1
1117	ZIP_00500	24	n	2	2	2	2	2	1	2	2	2	2	2	2	2	2	-2	-2
1118	ZIP_00200	37	m	2	2	2	2	3	2	2	2	2	2	2	2	-1	2	2	2
1119	ZIP_62100	28	n	2	2	2	2	1	1	2	1	2	2	2	2	2	0	0	-2
1120	ZIP_00100	34	x	-2	-1	-2	-2	2	1	-1	-1	-2	1	-1	-1	-1	2	-2	-2
1121	ZIP_37560	36	m	2	2	2	1	1	1	2	1	2	2	1	1	1	-1	1	1
1122	ZIP_00100	35	m	-1	1	-1	-2	3	3	-1	-1	1	1	1	-2	2	1	-2	1
1123	ZIP_00510	31	n	2	2	2	2	3	1	2	2	2	2	2	1	1	-1	1	-2
1124	ZIP_00610	34	m	1	2	2	2	2	1	2	2	2	2	2	1	1	1	2	-1
1125	ZIP_00610	33	m	2	2	2	2	3	1	1	-1	2	2	1	-1	-2	2	2	2
1126	ZIP_01100	25	m	2	2	2	2	4	4	2	2	2	2	2	2	2	2	2	2
1127	ZIP_00880	35	m	2	-2	-2	-2	2	2	-2	-2	-1	-1	-1	-2	-2	2	-2	-2
1128	ZIP_00210	63	m	1	-2	-1	-2	4	1	-1	-2	-2	-2	-2	-2	-2	2	-2	-2
1129	ZIP_00380	30	n	2	2	2	1	2	1	2	2	2	2	2	1	1	1	2	0
1130	ZIP_00300	32	m	-2	-2	-2	-2	3	1	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1131	ZIP_00200	37	m	2	2	2	1	4	1	2	2	2	2	2	2	2	1	1	1
1132	ZIP_00670	58	n	-1	2	-1	-2	2	0	-1	-2	2	1	-1	-2	1	2	-2	-2
1133	ZIP_00100	35	m	0	-2	-2	-2	3	2	-2	-2	-2	-2	-2	-2	-2	2	-2	-2
1134	ZIP_00550	26	n	-2	-2	1	-2	3	2	-1	-1	-2	-2	-2	-2	-2	2	-2	-2
1135	ZIP_15100	49	m	0	2	0	2	1	1	0	-2	0	2	2	2	2	0	-2	-2
1136	ZIP_02710	67	m	2	2	2	1	1	1	1	1	2	2	2	1	1	1	1	1
1137	ZIP_00810	43	n	2	2	2	2	4	1	2	2	2	2	2	2	2	2	0	-2
1138	ZIP_00520	27	m	2	2	2	2	3	1	2	2	2	2	2	2	2	1	2	2
1139	ZIP_00700	29	m	2	2	2	2	3	3	2	2	2	2	2	2	2	-2	2	2
